cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
"ES0022000005635208CB1P";"2024/01/07";"08:00";"0,187";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"09:00";"0,072";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"10:00";"0,137";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"11:00";"0,420";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"12:00";"0,448";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"13:00";"1,482";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"14:00";"0,500";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"15:00";"2,089";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"16:00";"2,294";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"17:00";"0,792";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"18:00";"0,170";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"19:00";"0,156";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"20:00";"0,366";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"21:00";"0,214";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"22:00";"1,733";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"23:00";"1,754";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"24:00";"0,324";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"01:00";"0,094";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"02:00";"0,087";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"03:00";"0,075";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"04:00";"0,093";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"05:00";"0,294";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"06:00";"0,097";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"07:00";"0,250";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"08:00";"0,768";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"09:00";"0,230";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"10:00";"0,757";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"11:00";"0,622";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"12:00";"0,379";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"13:00";"0,284";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"14:00";"0,221";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"15:00";"1,189";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"16:00";"0,815";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"17:00";"0,409";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"18:00";"0,278";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"19:00";"0,239";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"20:00";"0,457";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"21:00";"1,813";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"22:00";"0,523";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"23:00";"0,701";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/08";"24:00";"0,198";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"01:00";"0,113";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"02:00";"0,067";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"03:00";"0,086";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"04:00";"0,061";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"05:00";"0,047";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"06:00";"0,335";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"07:00";"0,237";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"08:00";"0,575";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"09:00";"0,540";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"10:00";"0,363";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"11:00";"0,447";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"12:00";"0,225";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"13:00";"0,230";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"14:00";"0,623";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"15:00";"0,398";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"16:00";"0,320";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"17:00";"0,331";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"18:00";"0,493";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"19:00";"0,184";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"20:00";"1,687";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"21:00";"2,208";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"22:00";"1,917";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"23:00";"0,195";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/09";"24:00";"0,630";Real;"0,000"
